aws.dms.available_memory
aws.dms.cdcchanges_disk_source
aws.dms.cdcchanges_disk_target
aws.dms.cdcchanges_memory_source
aws.dms.cdcchanges_memory_target
aws.dms.cdcincoming_changes
aws.dms.cdclatency_source
aws.dms.cdclatency_target
aws.dms.cdcthroughput_bandwidth_source
aws.dms.cdcthroughput_bandwidth_target
aws.dms.cdcthroughput_rows_source
aws.dms.cdcthroughput_rows_target
aws.dms.cpuallocated
aws.dms.cpuutilization
aws.dms.disk_queue_depth
aws.dms.free_memory
aws.dms.free_storage_space
aws.dms.freeable_memory
aws.dms.full_load_throughput_bandwidth_source
aws.dms.full_load_throughput_bandwidth_target
aws.dms.full_load_throughput_rows_source
aws.dms.full_load_throughput_rows_target
aws.dms.memory_allocated
aws.dms.memory_allocated_bytes
aws.dms.memory_usage
aws.dms.memory_usage_bytes
aws.dms.network_receive_throughput
aws.dms.network_transmit_throughput
aws.dms.read_iops
aws.dms.read_latency
aws.dms.read_throughput
aws.dms.recovery_count
aws.dms.run_counter
aws.dms.service_cpuutilization
aws.dms.service_memory_usage
aws.dms.swap_usage
aws.dms.total_bytes_read
aws.dms.total_bytes_written
aws.dms.write_iops
aws.dms.write_latency
aws.dms.write_throughput
